[00:00.000 --> 00:06.000]  I'm back.
[00:06.000 --> 00:12.080]  Resume recording here, and we are going to get back to where we left off from last time.
[00:12.080 --> 00:18.880]  And of course, the worry here is we are well ahead of the other class, which is not ideal.
[00:18.880 --> 00:24.480]  We have to find a way to sort of synchronize it, but that's practically impossible at this
[00:24.480 --> 00:25.480]  point.
[00:25.480 --> 00:31.960]  Let me just delay a little bit more.
[00:31.960 --> 00:41.400]  I'm putting up the chat and participants list here so that I can see if you have any questions
[00:41.400 --> 00:45.480]  later while the lecture is ongoing.
[00:45.480 --> 00:48.840]  And okay, right.
[00:48.840 --> 00:51.240]  And let's get back to our lesson.
[00:51.240 --> 00:57.720]  Let me just start the lecture where we left off.
[00:57.720 --> 01:04.200]  And before that, let me just double.
[01:04.200 --> 01:06.200]  Eh?
[01:06.200 --> 01:08.200]  Oh, no.
[01:08.200 --> 01:10.200]  What?
[01:10.200 --> 01:12.200]  Invalid?
[01:12.200 --> 01:16.200]  What the hell?
[01:16.200 --> 01:20.680]  Okay.
[01:20.680 --> 01:34.680]  An update is just mucked up something here.
[01:34.680 --> 01:39.160]  What is going on?
[01:39.160 --> 01:41.160]  Okay.
[01:41.160 --> 01:42.160]  Okay.
[01:42.160 --> 01:43.160]  Okay.
[01:43.160 --> 01:44.160]  Okay.
[01:44.160 --> 01:45.160]  Okay.
[01:45.160 --> 01:53.160]  Let me just have a quick look here.
[01:53.160 --> 02:01.640]  Hang on.
[02:01.640 --> 02:02.640]  Hang on.
[02:02.640 --> 02:03.640]  Okay.
[02:03.640 --> 02:05.640]  Let me just do this.
[02:05.640 --> 02:07.640]  Let me just paste.
[02:07.640 --> 02:08.640]  Ah!
[02:08.640 --> 02:15.120]  Well, what now?
[02:15.120 --> 02:17.120]  Why is my Pycom gone?
[02:17.120 --> 02:18.120]  Darn it.
[02:18.120 --> 02:19.120]  What the hell?
[02:19.120 --> 02:20.120]  Huh?
[02:20.120 --> 02:21.120]  Okay.
[02:21.120 --> 02:23.120]  Sorry about that.
[02:23.120 --> 02:31.600]  This was working last week, but it isn't now obviously.
[02:31.600 --> 02:35.600]  So what the heck happened?
[02:35.600 --> 02:37.600]  Okay.
[02:37.600 --> 02:41.600]  Something took it out.
[02:41.600 --> 02:43.600]  That's odd.
[02:43.600 --> 02:45.600]  Hmm.
[02:45.600 --> 02:47.600]  Oh, no.
[02:47.600 --> 02:49.600]  Oh, no.
[02:49.600 --> 02:51.600]  Oh, no.
[02:51.600 --> 02:58.080]  That doesn't inspire much confidence, eh?
[02:58.080 --> 03:03.920]  Given the fact that there were several, there was a severe, if you're not aware, there was
[03:03.920 --> 03:18.960]  an incidence of hacking on the Arch Linux ecosystem, if you like.
[03:18.960 --> 03:24.240]  I'm not using Arch Linux, but it was in the AUR, the user repository.
[03:24.240 --> 03:31.280]  Over 1,500 of those non-maintained apps were compromised recently.
[03:31.280 --> 03:33.280]  And that hasn't even been.
[03:33.280 --> 03:36.240]  So I hope it doesn't, hasn't gotten into a boot loop.
[03:36.240 --> 03:37.240]  Anyway.
[03:37.240 --> 03:38.240]  Okay.
[03:38.240 --> 03:39.440]  That seems to have gone through.
[03:39.440 --> 03:42.240]  And if ever anything, I would have infected my system.
[03:42.240 --> 03:44.240]  I hope not.
[03:44.240 --> 03:45.240]  Okay.
[03:45.240 --> 03:46.240]  So let's see.
[03:46.240 --> 03:50.000]  Let me try to get back to this slideshow.
[03:50.000 --> 03:51.680]  Anyway, as I said, we're well ahead.
[03:51.680 --> 03:54.560]  Start from current slide.
[03:54.560 --> 04:00.800]  And let me just see if this works.
[04:00.800 --> 04:10.320]  Well, that does work, but I don't really like that.
[04:10.320 --> 04:12.480]  Where is my...
[04:12.480 --> 04:14.080]  Ah, this is a mess.
[04:14.080 --> 04:15.280]  Sorry.
[04:15.280 --> 04:17.600]  Let me just do a share.
[04:20.080 --> 04:21.760]  And capture this.
[04:25.680 --> 04:26.080]  Okay.
[04:26.640 --> 04:27.040]  All right.
[04:27.040 --> 04:29.280]  So hopefully you guys can all see this.
[04:32.880 --> 04:34.640]  And we can proceed.
[04:34.640 --> 04:35.120]  Okay.
[04:35.120 --> 04:35.520]  All right.
[04:36.880 --> 04:42.000]  For some reason, there's something weird that's happening, but I can't seem to...
[04:42.000 --> 04:46.240]  Well, that still works anyway, but yeah, it might slow down.
[04:46.800 --> 04:54.880]  Because this is not the mode that we are practicing last time, which was proven to be pretty light on
[04:54.880 --> 04:57.280]  the operating system, but we'll see how it goes.
[04:57.840 --> 04:58.160]  All right.
[04:58.160 --> 05:02.240]  So DC bias with voltage feedback is the topic for today.
[05:04.640 --> 05:11.840]  And you might recall that this is essentially where we stopped at our lecture when we
[05:11.840 --> 05:13.680]  were face-to-face last Thursday.
[05:14.480 --> 05:14.960]  Okay.
[05:14.960 --> 05:23.200]  So prior to this, if you have a fogginess in your brain, the topic was about voltage divider bias.
[05:23.200 --> 05:23.920]  Okay.
[05:23.920 --> 05:32.240]  And we closed off at a comparison between the exact analysis where you do your Thevenin equivalent
[05:32.240 --> 05:38.480]  for the voltage divider versus the use of approximation.
[05:38.480 --> 05:39.120]  All right.
[05:39.120 --> 05:39.200]  All right.
[05:39.200 --> 05:45.840]  And so again, the key factor here is to determine if an approximation is good enough.
[05:45.840 --> 05:57.760]  And it was proven that the resulting values, if there is a small amount of current only going into the base
[05:57.760 --> 06:18.240]  versus how much current is actually available and provided by the voltage divider, if the amount of current is very, very dominant, where the base current is negligible, then an approximation is quite acceptable.
[06:18.240 --> 06:19.200]  Okay.
[06:19.200 --> 06:19.280]  Okay.
[06:19.280 --> 06:20.000]  Okay.
[06:20.000 --> 06:27.760]  We got results that were, you know, within 5%, 10% of the exact analysis, which under normal circumstances,
[06:29.120 --> 06:34.640]  the beta figure of the transistor would probably be off by a greater degree anyway.
[06:34.640 --> 06:35.200]  Okay.
[06:35.200 --> 06:37.520]  All right.
[06:37.520 --> 06:44.240]  So having said that, we investigate now the voltage feedback.
[06:44.240 --> 06:44.640]  Okay.
[06:44.640 --> 07:01.520]  So conceptually, again, just to reiterate, the way this thing works essentially is that the recognition that whatever effects that you might have, for example, a shrinking voltage from base to emitter,
[07:01.520 --> 07:10.160]  you know, if VBE were to drop, again, if temperature rises, then VBE becomes smaller.
[07:11.280 --> 07:11.680]  Okay.
[07:15.360 --> 07:27.360]  And what is going to happen is that if VBE becomes smaller, then IB will basically increase.
[07:27.360 --> 07:28.800]  Okay.
[07:28.800 --> 07:28.840]  Okay.
[07:29.840 --> 07:41.520]  Because of the fact that the voltage drop here, V sub RB, okay, V sub RB would have increased when this one went down.
[07:41.520 --> 07:42.560]  All right.
[07:42.560 --> 07:53.300]  And so if the amount of base current IB basically goes up, then we can expect our collector current to also go up.
[07:53.300 --> 07:54.300]  Okay.
[07:54.300 --> 07:54.420]  Okay.
[07:54.420 --> 07:54.500]  Okay.
[07:54.500 --> 08:03.560]  And if collector current goes up, okay, the voltage across V sub RC will also go up.
[08:03.560 --> 08:04.320]  Okay.
[08:04.320 --> 08:18.100]  So the transistor is turned on harder, which pulls, all right, and makes your VCE go lower, which again results in your V sub RC increasing.
[08:18.100 --> 08:27.800]  So if V sub RC increases, and you also recognize that VCE became smaller, you'll notice that the emitter is connected to ground,
[08:28.340 --> 08:32.120]  then the voltage at this point must have gone down.
[08:32.300 --> 08:34.360]  V sub C must have gone down.
[08:35.440 --> 08:35.820]  All right.
[08:36.240 --> 08:39.380]  And we can write that V sub C goes down.
[08:39.380 --> 08:56.300]  And if V sub C goes down, then the voltage across V sub RB, all right, must, all right, V sub RB, sorry, all right, must go down.
[08:57.300 --> 08:57.940]  Okay.
[08:58.140 --> 08:58.540]  Why?
[08:58.540 --> 09:01.300]  Because the collector voltage came down.
[09:01.640 --> 09:04.120]  There's less voltage now for V sub RB.
[09:04.820 --> 09:11.520]  And because there's less voltage across V sub RB, all right, the result is IB must have gone down.
[09:11.520 --> 09:23.400]  So you'll notice that temperature increase, all right, would have normally caused I sub B to go up due to the fact that VBE shrunk a little bit.
[09:23.400 --> 09:38.340]  But as a net result of this RB strategically connected to the collector instead, all right, normally it would have been connected to VCC, which would have been constant.
[09:38.560 --> 09:42.020]  It would not have had any chance of responding, all right?
[09:42.320 --> 09:47.680]  But here we're connecting RB to the collector, which goes down.
[09:47.680 --> 09:52.880]  And if the collector voltage goes down, then IB must also go down.
[09:52.880 --> 09:56.600]  So you'll see that we have two canceling effects, all right?
[09:56.600 --> 10:07.520]  We have a net result where any tendency for IB to increase will be counteracted by the transistor circuit itself trying to pull IB back down.
[10:08.140 --> 10:11.020]  And of course, again, you're going to have an equilibrium point.
[10:11.200 --> 10:19.940]  If you calculate these things correctly, then your question point as a result of this should be where you want it.
[10:19.940 --> 10:27.600]  And it should stay there regardless of how much temperature change that there is.
[10:27.680 --> 10:35.280]  Or at least if ever it does change, it will be less affected by temperature changes.
[10:35.880 --> 10:36.040]  Okay?
[10:36.040 --> 10:41.080]  So this is a nice nifty approach.
[10:43.540 --> 10:47.880]  Also, the claim here is that it's only slightly dependent on transistor beta.
[10:47.880 --> 10:55.700]  So this is what we call, again, as a feedback-type system, all right?
[10:55.780 --> 11:04.580]  You can see the chain of actions arriving more or less back where you almost started, which has, in this case,
[11:04.720 --> 11:12.720]  the feedback is designed to provide DC cue point stability, all right?
[11:12.720 --> 11:19.880]  This is not the only reason or situation where feedback is used.
[11:20.460 --> 11:25.520]  We use feedback, all right, in our own lives on ourselves.
[11:26.120 --> 11:28.500]  You take a quiz, you get the result.
[11:28.660 --> 11:36.220]  That's your feedback to your current state of knowledge, which hopefully drives you to study harder, all right?
[11:36.220 --> 11:37.280]  Or something like that.
[11:38.860 --> 11:46.720]  Your parents have used countless methods of feedback, both positive and negative, to motivate you.
[11:47.140 --> 11:49.000]  Do well in your blah, blah, blah.
[11:49.220 --> 11:51.280]  You know, you can take a trip to blah, blah.
[11:51.440 --> 11:54.300]  I will finance your trip to X, Y, Z.
[11:54.960 --> 12:00.500]  So that's, you know, feedback, a positive feedback mechanism.
[12:01.060 --> 12:01.400]  All right?
[12:01.400 --> 12:04.260]  So we're all familiar with this to a certain extent.
[12:04.660 --> 12:09.820]  So this is the whole idea behind DC bias with voltage feedback.
[12:10.420 --> 12:22.140]  The main point or difference here, essentially, again, is that the base resistor, which is normally connected to the connector,
[12:22.140 --> 12:27.520]  is now instead connected to the collector, all right?
[12:27.520 --> 12:35.860]  So that changes will, you know, shift the thing back to where it's supposed to have been.
[12:36.340 --> 12:36.680]  All right?
[12:36.880 --> 12:37.140]  Okay.
[12:37.200 --> 12:38.100]  So there you go with that.
[12:39.220 --> 12:49.960]  Hopefully, we can now proceed to the analysis of, you know, the equations associated with it.
[12:50.000 --> 12:54.460]  And again, unfortunately, it is interactive, all right?
[12:54.460 --> 12:57.100]  So let's have a quick look.
[12:57.640 --> 13:03.380]  So DC bias with voltage feedback, we're looking at the input loop here, okay?
[13:03.900 --> 13:10.040]  So KVL over at the input loop, we have our supply voltage, VCC, all right?
[13:10.120 --> 13:11.260]  We have VCC here.
[13:11.700 --> 13:12.580]  We start here.
[13:12.660 --> 13:17.580]  We go around and we wind up at ICRC, all right?
[13:17.580 --> 13:23.500]  Which is the output as well, you'll notice, but we're at the input.
