[00:00.000 --> 00:06.000]  We're in here.
[00:07.860 --> 00:15.120]  And as I said, we're picking up where we left off from last meeting.
[00:15.120 --> 00:29.980]  So just as a very quick statement, although I think distinctly possible is that a little bit later when others check in or whatever,
[00:30.000 --> 00:35.560]  somebody is inherently going to ask, sir, kasama ba to sa quiz?
[00:35.860 --> 00:41.040]  Okay, so ang sagot dito is, what's this?
[00:41.780 --> 00:47.180]  The quiz basically ends at transistor biasing.
[00:47.180 --> 01:02.440]  And given that, the last part of the lesson, last meeting, as well as the lesson here on forward is really not part of quiz one.
[01:02.440 --> 01:05.940]  Okay, but it's still about transistors anyway.
[01:06.420 --> 01:11.000]  But yeah, that's for the next part.
[01:12.300 --> 01:19.140]  So the quiz will not include whatever we're taking up right now.
[01:19.520 --> 01:27.440]  Okay, so from here, from the last part of last meeting onwards is reserved for quiz number two.
[01:27.440 --> 01:31.700]  Okay, so having said that, I hope that's clear.
[01:32.700 --> 01:34.640]  Let's continue where we left off.
[01:34.800 --> 01:40.440]  Okay, let me just get the elements of the system running.
[01:41.660 --> 01:46.680]  And hopefully we won't have any issues.
[01:47.100 --> 01:49.520]  Let's see if this thing works properly.
[01:52.080 --> 01:55.300]  Where's the presentation anyway?
[01:55.300 --> 01:55.420]  Here.
[01:55.420 --> 01:56.700]  Here.
[01:58.500 --> 02:07.940]  We basically ended at transistor as a switch.
[02:08.100 --> 02:12.600]  But there are a couple of things that I'd like to backtrack on and reiterate.
[02:14.060 --> 02:16.820]  Slideshow from the current slide.
[02:17.820 --> 02:20.680]  And let me just capture this.
[02:20.680 --> 02:21.680]  Okay.
[02:33.360 --> 02:33.760]  Okay.
[02:36.960 --> 02:37.360]  Yeah.
[02:37.440 --> 02:42.340]  For those who are, there's a question, what time is the test on Saturday?
[02:42.340 --> 02:45.440]  I haven't made any announcements yet as to what time it is.
[02:45.580 --> 02:51.700]  But I would normally attempt to put it at early time.
[02:51.860 --> 02:56.800]  So probably about 8 o'clock or so.
[02:57.240 --> 02:57.480]  All right.
[02:57.480 --> 02:59.840]  I will be requesting for 8 o'clock.
[03:01.200 --> 03:09.600]  And that's going to be subject again to the, if there are any conflicts of room reservation.
[03:09.760 --> 03:13.960]  But I kind of, I kind of assume that we shouldn't have any issues with that.
[03:14.200 --> 03:18.620]  So 8 o'clock and we ought to be done by 9.30.
[03:19.620 --> 03:19.980]  Okay.
[03:19.980 --> 03:20.100]  Okay.
[03:21.100 --> 03:24.700]  But wait for further announcements with regard to that.
[03:25.020 --> 03:25.180]  Okay.
[03:25.960 --> 03:26.280]  Okay.
[03:26.400 --> 03:29.000]  So let's get back to today's lesson.
[03:31.260 --> 03:31.780]  Share.
[03:33.220 --> 03:34.440]  Share, share, share.
[03:35.540 --> 03:38.080]  And not the desktop.
[03:38.500 --> 03:39.900]  Ah, this is difficult.
[03:40.100 --> 03:40.280]  Here.
[03:40.500 --> 03:40.980]  Okay.
[03:40.980 --> 03:44.300]  Okay.
[03:44.820 --> 03:45.540]  So there we go.
[03:46.580 --> 03:53.280]  Again, of course, as we go through today's coverage, let me know if you have any questions.
[03:54.480 --> 03:54.720]  Okay.
[03:55.860 --> 04:00.060]  And we'll try to address those as best as we can.
[04:00.620 --> 04:00.820]  Okay.
[04:01.100 --> 04:02.640]  So transistors has to switch.
[04:02.640 --> 04:07.280]  This is the last part of the lesson last Thursday.
[04:07.280 --> 04:07.400]  Okay.
[04:08.300 --> 04:08.600]  Okay.
[04:08.960 --> 04:16.220]  And I'd like to just backtrack a little bit and make sure that everybody sort of understands this.
[04:16.440 --> 04:22.320]  So again, we are using the transistor in saturation or cutoff.
[04:22.320 --> 04:22.960]  Okay.
[04:22.960 --> 04:39.940]  And in this particular poorly presented example, there is a transistor with, and when you're using a transistor as a switch, typically it will be in common emitter configuration.
[04:39.940 --> 04:57.300]  So one of the things that you might want to notice is regardless if you're using the transistor as a switch or not, when you are in common emitter configuration, whatever is the input signal, all right?
[04:57.300 --> 05:11.900]  The input signal going into the base, all right, will have, after going through the transistor at the output, at the collector, you're going to get an inverted version of it.
[05:12.540 --> 05:12.640]  Okay.
[05:12.640 --> 05:22.240]  There is a phase inversion that happens when you are using a transistor in common emitter.
[05:22.240 --> 05:23.240]  Okay.
[05:23.240 --> 05:24.240]  Okay.
[05:24.240 --> 05:27.840]  So in this particular example, it's very easy to understand, right?
[05:27.840 --> 05:30.620]  Because it's being used as a switch.
[05:30.620 --> 05:49.160]  So therefore, when we produce enough voltage to actually overcome and turn on the transistor through its voltage drop, VBE of 0.7, notice that we have 0.3 volts extra, all right?
[05:49.160 --> 06:02.500]  So that 0.3 volts extra, all right, is the one that will allow current to go into the base, all right, and turn the transistor on.
[06:03.080 --> 06:06.820]  And when the thing turns on, the transistor conducts, all right?
[06:06.820 --> 06:28.400]  And so when the transistor conducts, we expect that because it's being used as a switch, for example, this thing is going to drop and try to turn on at its maximum possible, which will leave you with a VCE of approximately 0.3, or that's usually what the academic books will say, right?
[06:28.400 --> 06:33.800]  Full saturation is approximately 0.3 volts across that.
[06:34.540 --> 06:43.800]  And so therefore, a high, all right, even produces a transistor that turns on, which makes the output go low, all right?
[06:43.800 --> 06:46.660]  So you see the phase relationship here.
[06:47.240 --> 06:57.420]  If this is the input, if this is the output signal, as we see here, the input signal would have looked something like this, okay?
[06:57.420 --> 07:03.260]  There's your input signal, and you can see that the output is reverse in phase.
[07:03.260 --> 07:07.460]  So this is transistor as a switch in common emitter.
[07:08.120 --> 07:18.780]  If we had the standard, you know, configuration where you have essentially a transistor in common emitter mode,
[07:19.280 --> 07:28.480]  and you had biased it in such a way that it would have been in its active region, okay, if it were in its active region,
[07:28.480 --> 07:36.820]  then you could have put in a sinusoidal wave like this, and the transistor would amplify it,
[07:36.920 --> 07:41.620]  but the amplification process would have inverted the signal, all right?
[07:41.680 --> 07:50.640]  And so it could have produced an output signal that is 180 degrees inverted against the input, all right?
[07:50.640 --> 07:53.440]  And so same thing, all right?
[07:53.500 --> 08:03.840]  It's the same thing even if the transistor is in its active region being used as a linear amplifier, okay?
[08:03.920 --> 08:04.980]  Linear amplifier.
[08:05.700 --> 08:06.360]  So there we go.
[08:06.820 --> 08:08.440]  Please take note of that.
[08:08.780 --> 08:14.060]  This is a characteristic of the common emitter configuration, okay?
