[00:00.000 --> 00:04.640]  I'm recording.
[00:06.160 --> 00:06.540]  Okay.
[00:06.540 --> 00:16.820]  And while that's happening, there's one or two other people who joined us right now, but
[00:16.820 --> 00:20.160]  still a very small number.
[00:24.320 --> 00:25.080]  Let's see.
[00:25.160 --> 00:25.900]  Where's the chat?
[00:25.900 --> 00:31.660]  I'm just setting up the elements here, giving more time for the others to lobby in.
[00:33.400 --> 00:36.520]  But I guess high time we start.
[00:36.520 --> 00:36.940]  Okay.
[00:36.940 --> 00:40.400]  So let's go to the show.
[00:42.100 --> 00:43.780]  Start from the current slide.
[00:44.500 --> 00:52.540]  And I'll be honest, I don't quite remember where we stopped last meeting, unfortunately.
[00:52.540 --> 00:56.620]  So hopefully this is just about right.
[00:56.620 --> 01:06.840]  It is very hard for me to cope with differing lectures as well as LAM, which has happened
[01:06.840 --> 01:16.320]  because of the nature of the last week where we had to go online on Friday suddenly.
[01:16.320 --> 01:19.920]  And so that really desynchronized even the lab sessions.
[01:20.660 --> 01:20.920]  Okay.
[01:21.660 --> 01:23.080]  So let's go forward.
[01:23.560 --> 01:26.040]  And let me just put this up on screen.
[01:26.260 --> 01:29.040]  This is a share right now.
[01:29.580 --> 01:31.320]  I'm going to do this.
[01:32.360 --> 01:37.820]  You'll find that the dimensions are a little bit different because I will be sharing the
[01:37.820 --> 01:44.860]  whole desktop and for a good reason, because I want to be able to show you guys a few things
[01:44.860 --> 01:49.880]  that is outside of the PowerPoint presentation.
[01:50.580 --> 01:50.740]  Okay.
[01:51.200 --> 01:51.520]  All right.
[01:51.600 --> 01:54.360]  So let's start here.
[01:54.500 --> 01:59.140]  I think if I'm not mistaken, correct me if I'm wrong, please.
[01:59.140 --> 02:09.220]  But I know that there was something about trying to simulate the circuit.
[02:10.700 --> 02:10.840]  Okay.
[02:11.360 --> 02:18.120]  Trying to simulate this particular circuit and seeing what kind of response you'd get, particularly
[02:18.120 --> 02:21.880]  concentrating on the voltage gain, which is the simplest to look at.
[02:21.880 --> 02:22.780]  Okay.
[02:23.360 --> 02:30.340]  And if you did the simulations, you would have found out that the simulation produced a very,
[02:30.480 --> 02:36.920]  very different result, at least initially, where the gain was really low.
[02:37.140 --> 02:41.660]  And so let's have a quick look and confirm this.
[02:42.560 --> 02:44.000]  Let's see here.
[02:44.420 --> 02:46.320]  Hopefully everybody can see this.
[02:47.280 --> 02:47.460]  All right.
[02:47.460 --> 02:47.760]  Okay.
[02:49.540 --> 03:01.740]  And this is essentially pretty much the same circuit as we see provided in the slide.
[03:02.660 --> 03:05.420]  And the supply voltage is 12 volts.
[03:06.280 --> 03:06.440]  Okay.
[03:06.440 --> 03:10.320]  Same resistor values, same capacitor values.
[03:10.320 --> 03:26.820]  And if we try to simulate this, what you're going to find essentially is that for a tiny amount of input,
[03:27.080 --> 03:31.000]  which is 15 millivolts, as you can see from the parameters here.
[03:31.000 --> 03:40.080]  So it's 15 millivolts going up and 15 millivolts going down, which is a total of 30 millivolts peak to peak.
[03:41.020 --> 03:41.140]  Okay.
[03:41.600 --> 03:43.680]  30 millivolts peak to peak.
[03:43.780 --> 03:47.920]  And let's write that because you're likely to forget.
[03:48.240 --> 03:48.540]  All right.
[03:48.600 --> 03:54.220]  So this is 30 millivolts peak to peak.
[03:54.720 --> 03:55.100]  Okay.
[03:55.560 --> 03:56.100]  All right.
[03:56.100 --> 04:02.520]  And let's have a quick look at our resulting amplification.
[04:03.820 --> 04:04.160]  Okay.
[04:04.920 --> 04:13.360]  And as you can see, we are getting approximately plus 1.2 down to negative 1.2.
[04:13.680 --> 04:16.000]  There's really no need to be more exacting than that.
[04:16.120 --> 04:17.240]  Of course, we can do that.
[04:17.780 --> 04:18.100]  Okay.
[04:18.100 --> 04:26.860]  If we wanted to, by clicking on this one and looking at the actual amplitude,
[04:27.120 --> 04:39.320]  by dragging to the maximum over here, which you see is 1.15 and dragging it all the way down to the minimum,
[04:40.040 --> 04:43.920]  which is negative 1.196.
[04:43.920 --> 04:44.400]  Okay.
[04:44.660 --> 04:52.280]  So it really is pretty close to 2.4 volts peak to peak, a little bit less than that.
[04:52.920 --> 04:56.720]  And I guess we can go with that and just write this thing down here.
[04:56.840 --> 05:00.720]  This is 2.4 volts peak to peak.
[05:00.720 --> 05:12.180]  Now, if you get your trusty calculator now and do the division, you're going to see 2.4 divided by 30 times 10 to the minus 3.
[05:12.800 --> 05:13.420]  Oh, sorry.
[05:14.320 --> 05:19.260]  Gives you a little bit more than what I anticipated, but what the hell.
[05:19.700 --> 05:23.840]  This provides us with a voltage gain of about 80.
[05:24.280 --> 05:24.660]  All right.
[05:24.700 --> 05:26.420]  It's about 80, not 50.
[05:26.900 --> 05:27.180]  All right.
[05:27.180 --> 05:30.200]  Maybe if we're a little bit more exacting, well, it'll be less than 80.
[05:31.160 --> 05:31.540]  All right.
[05:32.100 --> 05:43.340]  So bottom line is regardless of how you're looking at it, the gain characteristic is very, very, very different from what, you know,
[05:43.340 --> 05:54.180]  what you think should be the, you know, hand calculated gain, which is somewhere near 140.
[05:55.060 --> 05:55.360]  All right.
[05:55.360 --> 05:57.040]  So this is too large a difference.
[05:57.700 --> 06:02.320]  And ultimately, it's a question of why the hell is that the case?
[06:02.860 --> 06:03.040]  Okay.
[06:03.760 --> 06:14.900]  Now, to answer that question, okay, to answer that question, we actually already discussed this in the class because somebody asked about it,
[06:14.900 --> 06:19.620]  although I don't know if other people were actually actively listening.
[06:19.620 --> 06:20.620]  All right.
[06:20.620 --> 06:20.640]  All right.
[06:20.640 --> 06:20.700]  All right.
[06:20.700 --> 06:20.700] 
[06:20.700 --> 06:20.700] 
[06:20.700 --> 06:20.800]  All right.
[06:20.800 --> 06:21.700]  All right.
[06:21.700 --> 06:35.120]  If you go over here, the answer essentially is that, and just clear out all these, it's essentially because of that assumption that the capacitors are acting as short circuits.
[06:35.120 --> 06:55.540]  And with the values that have been placed on that schematic and in the simulation, all right, this 10 microfarad capacitor, the one that is bypassing the emitter resistor, which is 560 ohms, all right, you have a capacitor there that is 10 microfarads.
[06:55.540 --> 06:58.940]  And all of these are going to ground, okay?
[06:58.940 --> 07:01.940]  Hopefully, hopefully, you know what I'm talking about, all right?
[07:01.940 --> 07:01.940] 
[07:01.940 --> 07:01.940] 
[07:01.940 --> 07:02.520]  All right.
[07:02.520 --> 07:19.080]  This capacitor, all right, if you look at it in terms of AC analysis, the true impedance, X sub C, is actually 15.92 ohms.
[07:19.080 --> 07:21.880]  It's not zero at all, all right?
[07:21.880 --> 07:33.160]  It's 15.92 ohms at 1,000 hertz, sorry, at 1,000 hertz, okay?
[07:33.160 --> 07:59.780]  So the result of that is that instead of your RE being equal to just the calculated 26 millivolts divided by IE, all right, instead of it being that, because there's that assumption that this thing's connected to ground from the transistor itself, no?
[08:00.300 --> 08:00.540]  Okay.
[08:00.540 --> 08:14.600]  So your RE is based on this, right, 26 millivolts over IE, there's actually an additional impedance of 15.92 ohms.
[08:14.740 --> 08:27.020]  So the voltage gain calculation, AV, should have been equal to RE plus Z sub C or X sub C for that matter, okay?
[08:27.020 --> 08:40.780]  And because this is the denominator in the equation, it's RC over R prime E plus XC, all right, this additional 15.92 ohms.
[08:40.820 --> 08:47.200]  Remember, the RE in itself is already pretty close to that value, all right?
[08:47.200 --> 08:56.440]  And so you're actually practically multiplying the RE times to be twice that of what you thought it would be.
[08:56.440 --> 09:06.960]  And that really equates because your original hand calculations provided you with the voltage gain of about 140.
[09:07.820 --> 09:14.120]  And with the additional of XC, we're estimating that the gain will be roughly half, right?
[09:14.120 --> 09:19.580]  And that means that your projected gain is now just around 70.
[09:19.980 --> 09:25.300]  And that is indeed exactly pretty much what we're getting here, okay?
[09:25.800 --> 09:38.160]  Now, if you want to see this, all right, if you really want to see this, one way of doing it would be to change the simulation in itself, all right?
[09:38.160 --> 09:41.700]  Let's change the simulation, let's get this out of the way.
[09:44.700 --> 09:46.880]  Okay, out of the way.
[09:48.560 --> 09:50.840]  And click here.
[09:51.600 --> 09:54.180]  This is what I get for buying a cheap mouse.
[09:55.020 --> 10:03.040]  Okay, one of those Logitech clones, all right?
[10:03.040 --> 10:09.300]  Wireless mouse from China, which is a fake unit.
[10:10.000 --> 10:10.340]  Oh, well.
[10:10.720 --> 10:12.240]  It still works, unfortunately.
[10:13.200 --> 10:18.120]  So we'll go to the simulation here, go to the control.
[10:18.280 --> 10:19.300]  I'll just edit this.
[10:19.360 --> 10:19.820]  What the hell?
[10:22.000 --> 10:29.060]  Let's remove the semicolon there.
[10:29.060 --> 10:32.760]  And I'll put a semicolon on this guy.
[10:34.840 --> 10:37.060]  So that it becomes...
[10:39.060 --> 10:39.220]  Oh.
[10:40.440 --> 10:41.200]  Oh, yun, yan.
[10:43.040 --> 10:44.240]  Ina-parse ba niya?
[10:46.400 --> 10:50.140]  Ah, kasi hindi siya being treated as comment plus two.
[10:50.840 --> 10:51.400]  Okay.
[10:52.240 --> 10:53.060]  How else can I...
[10:54.260 --> 10:55.640]  Ah, well, what the hell?
[10:57.640 --> 10:58.200]  Simulation.
[10:59.060 --> 11:01.920]  I don't know if it will do this both, come to think of it.
[11:03.500 --> 11:04.300]  Non-linear.
[11:08.420 --> 11:09.680]  Select one to run.
[11:09.860 --> 11:10.280]  Okay, fine.
[11:12.680 --> 11:13.120]  Okay.
[11:14.380 --> 11:15.640]  It's spotted that one.
[11:16.080 --> 11:16.360]  Okay.
[11:16.580 --> 11:20.160]  So what we've done here is we've done an AC analysis, all right?
[11:20.160 --> 11:31.180]  Now, the AC analysis means that the circuit will be simulated and through a frequency range.
[11:31.180 --> 11:31.420]  No?
[11:31.420 --> 11:43.760]  So in this particular case, I provided parameters here that it will simulate essentially from 10 hertz to 100 kilohertz.
[11:43.760 --> 11:47.540]  That puts 1 kilohertz right at the center.
[11:47.540 --> 11:47.900]  Okay?
[11:47.900 --> 11:49.020]  Okay.
[11:49.020 --> 11:54.220]  That puts 1 kilohertz right at the geometric center of the frequency range.
[11:54.680 --> 11:55.120]  Okay?
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
[11:55.120 --> 11:55.120] 
