[00:00.000 --> 00:15.120]  Don't hesitate to let me know so that your questions can be properly addressed.
[00:15.120 --> 00:15.520]  Okay.
[00:16.260 --> 00:16.560]  Okay.
[00:16.680 --> 00:23.420]  So let me just capture the slides, the recordings on, share.
[00:24.480 --> 00:26.440]  Let's see this one.
[00:27.960 --> 00:28.680]  Okay.
[00:28.680 --> 00:35.180]  We are essentially picking up where we left off from last meeting, more or less.
[00:35.640 --> 00:35.740]  Okay.
[00:37.220 --> 00:41.460]  And I just like to re-emphasize this point here.
[00:42.120 --> 00:55.280]  As we stated last meeting, essentially there are two kinds of underlying base material that's used to create diodes in large numbers today.
[00:55.280 --> 01:14.740]  These two are not the only possible materials or elements that are used, but they are the ones that are commercially, let's just say, much more viable given that they are very, very low cost.
[01:14.740 --> 01:15.100]  No.
[01:15.100 --> 01:15.120]  No.
[01:15.460 --> 01:25.600]  So the other thing with diodes, they are basically very, very simple relative to any other kind of semiconductor.
[01:26.120 --> 01:31.880]  They're just two differently doped materials that have been put together.
[01:31.880 --> 01:37.160]  So semiconductor fabrication-wise, this is just about as simple as it can get.
[01:38.100 --> 01:38.200]  Okay.
[01:38.200 --> 01:38.260]  Okay.
[01:40.260 --> 01:55.320]  So the tendency again here is that diodes are fairly inexpensive and are typically at the lowest cost in the range of semiconductor devices available.
[01:55.320 --> 01:55.960]  Okay.
[01:55.960 --> 01:56.060]  Okay.
[01:57.460 --> 02:08.560]  Now, so going forward, let's, again, the germanium diode or GE for short, basically has a smaller forward voltage.
[02:08.560 --> 02:18.040]  So they are used for very low-level signal rectification purposes, which we'll go into in the next meeting.
[02:18.700 --> 02:19.100]  All right.
[02:19.240 --> 02:22.800]  Or maybe even this meeting a little bit later.
[02:23.400 --> 02:30.400]  So we'll talk about rectification, which was already actually covered last term as well.
[02:30.400 --> 02:57.460]  But here, the forward bias requirements, the forward conduction voltage requirements, where germanium begins conducting as early as 0.1 volt and typically maxes out at about 0.3 or 0.4 volts, basically means that there are much less losses in the signal for a signal that is being rectified.
[02:57.460 --> 03:22.200]  In contrast with silicon, which starts conducting at 0.5, but will sort of max out at 0.7 or even 0.8 volts or so for higher currents, which means that there's a larger voltage drop, which means that you're chomping off potentially a larger portion of the signal that you want to retain.
[03:22.200 --> 03:40.020]  So if it comes down to a small signal level where the amount of current passing through the requirement is pretty small, the preferred element is germanium.
[03:40.020 --> 03:52.360]  And so even up to today, we have diodes readily available that are basically germanium-based, although the selection is very, very small.
[03:52.360 --> 04:10.360]  It's more just a question of this diode is made out of germanium and it's good enough for the vast majority of small signal requirements for applications where silicon is not as viable.
[04:10.360 --> 04:19.440]  And so there's only one or two very, very popular germanium-based, and any good electronics store would have it.
[04:19.680 --> 04:34.600]  So if you went, for example, to the store next door to the Cox building, which is eGizmo, you will definitely be able to purchase a germanium diode.
[04:34.600 --> 04:35.280]  Okay.
[04:35.620 --> 04:40.580]  Although at such low prices, this is like you're buying resistors.
[04:40.940 --> 04:49.400]  When it comes to these things, they're so low cost that even if germanium is, what's this?
[04:49.900 --> 04:51.360]  Pretty low cost.
[04:51.780 --> 04:56.240]  The price difference between a germanium and a silicon diode is pretty small.
[04:57.080 --> 04:59.700]  They're all more or less about the same.
[04:59.700 --> 05:07.200]  Germanium might be even a little bit more expensive on the basis that very few people would be interested in buying them.
[05:07.760 --> 05:07.900]  Okay.
[05:08.160 --> 05:10.140]  So let's go forward with this.
[05:10.560 --> 05:14.680]  We passed through these slides last meeting as well.
[05:15.340 --> 05:21.520]  And there's just one little aspect that I'd like to emphasize here.
[05:21.900 --> 05:23.480]  Why is the font looking so weird?
[05:24.640 --> 05:28.740]  This is an equation for the saturation current.
[05:28.740 --> 05:34.740]  Which is sort of something that we don't really need to get into.
[05:35.560 --> 05:35.860]  All right.
[05:36.800 --> 05:40.340]  We just have to get over to this one.
[05:40.420 --> 05:42.820]  And I don't really know why the font is doing this.
[05:42.960 --> 05:49.800]  But what you're going to see here is that there is a quoted value out of all of this equation,
[05:50.200 --> 05:56.280]  this expansion of this equation, and the explanation of what each and every parameter is supposed to mean.
