[00:00.000 --> 00:29.980]  Thank you.
[00:30.000 --> 00:31.260]  C, Tron2.
[00:31.760 --> 00:32.020]  Okay.
[00:33.040 --> 00:38.980]  Now, let me just get the presentation up and running here.
[00:41.660 --> 00:44.440]  Show, start the slideshow here.
[00:44.440 --> 00:49.140]  And, of course, I need to capture everything.
[00:49.980 --> 00:51.440]  Let's share this.
[00:56.880 --> 00:57.680]  Share.
[01:00.000 --> 01:00.720]  Righto.
[01:01.640 --> 01:03.380]  Hopefully you can see this.
[01:03.640 --> 01:03.920]  All right.
[01:04.000 --> 01:06.200]  So applications of bipolar transistors.
[01:06.200 --> 01:10.360]  We already looked at one last time,
[01:10.480 --> 01:16.240]  which was our phase splitter plus differential amplifier.
[01:18.160 --> 01:21.420]  Now we go on to the digital world.
[01:21.860 --> 01:22.020]  Okay.
[01:22.640 --> 01:25.160]  So as we go through the lesson today,
[01:25.220 --> 01:27.240]  of course, if you have any questions,
[01:27.980 --> 01:29.240]  feel free to interrupt.
[01:30.000 --> 01:31.960]  OK, let's try to go through this quickly.
[01:31.960 --> 01:33.120]  This is not a hard lesson.
[01:37.560 --> 01:40.120]  And so let's go.
[01:40.120 --> 01:44.500]  OK, digital logic 8.
[01:44.500 --> 01:47.360]  So the concentration, really, of this lecture
[01:47.360 --> 01:51.280]  is on PPL logic, all right?
[01:51.280 --> 01:52.620]  PPL logic.
[01:52.620 --> 01:57.240]  PPL stands for transistor-transistor logic.
[01:57.240 --> 01:58.000]  OK?
[01:58.000 --> 02:02.600]  So real world, when you went to the lab, for example,
[02:02.600 --> 02:04.440]  okay, yeah, you guys,
[02:04.440 --> 02:07.740]  if you played around with the digital logic circuits,
[02:07.740 --> 02:12.740]  the 74LS00, 74LS04 that's available in the CT lab,
[02:16.160 --> 02:18.960]  which you might have done during CCI Comp Lab.
[02:20.460 --> 02:23.560]  These are essentially logic gates
[02:23.560 --> 02:26.900]  that are actually built on transistor-transistor logic.
[02:26.900 --> 02:29.860]  The LS stands for low power Scott Key.
[02:30.040 --> 02:35.880]  So it's a special slight variation on the standard DPL stuff,
[02:36.780 --> 02:42.060]  which provides it with outstanding characteristics
[02:42.060 --> 02:48.700]  combining speed with low power consumption.
